Account Name,Churned currency,Churned Amount,Approx. Close Date,Territory,Billing Country,Screening,Churn Reason,Churn Detail,Churn Summary,Agency Group,Brandwatch Products,Fiscal Period
Kantar SAS,USD,3085.5,1/6/2022,EMEA,France,Small Business,Nature of Business,,,WPP,Brandwatch Consumer Research (BCR) - Premium - Mentions account;Historical Mentions;,Q1-2022
Impact BBDO,USD,593,1/6/2022,EMEA,United Arab Emirates,Medium Business,Price/Packaging,,,Omnicom,B4A - Brandwatch Consumer Research (BCR) - Individual Account - Premium;,Q1-2022
Pepsico (mexico),USD,5000,1/10/2022,Americas,Mexico,Top Business,Product,,,,Brandwatch Consumer Research (BCR) - Enterprise - Mentions Account;Historical Mentions;,Q1-2022
Eggs Agence,USD,977.68,1/10/2022,EMEA,France,Extra Small,Nature of Business,,,,Brandwatch Consumer Research (BCR) - Standard;,Q1-2022
EssenceMediacom,USD,1600,1/11/2022,Americas,United States,Large Business,,,,WPP,All historical data on query save;API+;Audiences - Enterprise;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Enterprise Research;Historical Mentions;Historical Mentions;Image Insights;Vizia reporting;,Q1-2022
BBH Bartle Bogle Hegarty LLC,USD,3258.84,1/11/2022,EMEA,United Kingdom,Large Business,Nature of Business,,,Publicis,Audiences - Professional;Brandwatch Consumer Research (BCR) - Premium;,Q1-2022
Sparkloft Media,USD,4593,1/27/2022,Americas,United States,Large Business,Product,,,,,Q1-2022
Hyphen Digital,USD,2960,1/28/2022,Americas,United States,Medium Business,Product,,,Omnicom,Audiences - Enterprise;Brandwatch Consumer Research (BCR) Agency Client Account;Historical Mentions;,Q1-2022
Ketchum Inc,USD,1103,1/28/2022,Americas,United States,Top Business,Nature of Business,,,Omnicom,Brandwatch Consumer Research (BCR) Agency Client Account;Historical Mentions;,Q1-2022
Scholz&Friends Hamburg,USD,4879.93,1/31/2022,EMEA,Germany,Large Business,Nature of Business,,,WPP,,Q1-2022
VMLY&R Turkey,USD,3078.02,1/31/2022,EMEA,Turkey,Small Business,Nature of Business,,,WPP,,Q1-2022
ISK Institut f?r Strategie & Kommunikation,USD,1990.45,1/31/2022,EMEA,Germany,Extra Small,Price/Packaging,,,,Brandwatch Consumer Research (BCR) - Premium - Mentions account;Historical Mentions;,Q1-2022
Ministry of Education PERU,USD,988,2/1/2022,Americas,Peru,Top Business,Price/Packaging,Undercut by competitor,,,,Q1-2022
Wirz,USD,770.5,2/3/2022,EMEA,Switzerland,Medium Business,Nature of Business,Data (coverage/language/quantity),,Omnicom,Brandwatch Consumer Research (BCR) - Standard;,Q1-2022
Ministry General Secretariat of Government,USD,1120,2/16/2022,Americas,Chile,Medium Business,Nature of Business,"M&A, bankruptcy, public filings",,,,Q1-2022
PRICEWATERHOUSECOOPERS SERVICES LIMITED,USD,830,2/17/2022,EMEA,United Kingdom,Large Business,Nature of Business,"M&A, bankruptcy, public filings",,PWC,API+;API+;Brandwatch Consumer Research (BCR) - Enterprise;Brandwatch Enterprise Research;Image Insights;Image Insights;,Q1-2022
The Beyond Collective,USD,3497.35,2/21/2022,EMEA,United Kingdom,Small Business,Nature of Business,Lack of strategy / never adopted,,,,Q1-2022
E/OU-MRM,USD,1310,2/22/2022,Americas,Brazil,Small Business,Price/Packaging,Data (coverage/language/quantity),,Interpublic Group,,Q1-2022
citizenrelations.com,USD,7288,2/25/2022,Americas,United States,Small Business,Price/Packaging,Contract / Packaging structure,,,Brandwatch Consumer Research (BCR) - Premium;,Q1-2022
Symphonic Strategies,USD,0,2/27/2022,Americas,United States,Extra Small,Other,,,,,Q1-2022
Deutsch LA,USD,7601,3/2/2022,Americas,United States,Large Business,Nature of Business,Lost sponsor / champion / key users,,Interpublic Group,,Q1-2022
Digitas,USD,9973,3/3/2022,Americas,United States,Medium Business,Price/Packaging,,,Publicis,All historical data on query save;Brandwatch Premium Research;Per site product uplift;Product Review Analytics;,Q1-2022
ONIRIA\TBWA,USD,700,3/7/2022,Americas,Paraguay,Extra Small,Price/Packaging,Budget cuts,,Omnicom,Brandwatch Consumer Research (BCR) - Standard;,Q1-2022
Forschungsweb,USD,1656,3/11/2022,EMEA,Germany,Small Business,Nature of Business,"M&A, bankruptcy, public filings",,,Brandwatch Consumer Research (BCR) - Premium - Mentions account;Historical Mentions;,Q1-2022
Explora Mexico,USD,1350,3/14/2022,Americas,Mexico,Medium Business,,,,,Vizia;Vizia Theme;,Q1-2022
Social Impact ComunicaciÃ³n y Estrategia,USD,700,3/24/2022,Americas,Mexico,Extra Small,CX,Strategy change,,,Brandwatch Consumer Research (BCR) - Standard;,Q1-2022
Media Planning International Corporation,USD,244.95,3/26/2022,Americas,United States,Medium,Nature of Business,"M&A, bankruptcy, public filings",,Havas,,Q1-2022
Wipro Designit Services Inc.,USD,1100,3/29/2022,Americas,United States,Medium Business,Nature of Business,,,,Audiences - Enterprise;,Q1-2022
B&H | Sanitas Krankenversicherung,USD,1035,3/29/2022,EMEA,Switzerland,Top Business,Nature of Business,Lost sponsor / champion / key users,,,,Q1-2022
Renegade Communications,USD,5535,3/29/2022,Americas,United States,Extra Small,Nature of Business,,,,,Q1-2022
Gravity Thinking,USD,3105,3/29/2022,EMEA,United Kingdom,Medium Business,CX,Lack of strategy / never adopted,,,,Q1-2022
"Alurralde, Jasper & Asociados",USD,560,3/30/2022,Americas,Argentina,Extra Small,Nature of Business,Lost sponsor / champion / key users,,,Brandwatch Consumer Research (BCR) - Standard;,Q1-2022
Consumer Science & Analytics,USD,244.95,3/31/2022,EMEA,France,Extra Small,Nature of Business,"M&A, bankruptcy, public filings",,Havas,,Q1-2022
Merkley + Partners,USD,3045,3/31/2022,Americas,United States,Large Business,Price/Packaging,Budget cuts,,Omnicom,Brandwatch for Agencies Core Account (BCR);,Q1-2022
Storyful,USD,473.53,4/1/2022,EMEA,Ireland,Small Business,Product,,,,Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);,Q2-2022
Whirlpool Latin America (part Of Whirlpool Group),USD,595,4/8/2022,Americas,Brazil,Top Business,CX,Undercut by competitor,,,Brandwatch Consumer Research (BCR) - Standard;,Q2-2022
Isobar Canada (Toronto),USD,913.24,4/8/2022,Americas,United States,Large Business,Nature of Business,"M&A, bankruptcy, public filings",,Dentsu,Brandwatch Consumer Research (BCR) - Premium;,Q2-2022
DCI Group,USD,4875,4/15/2022,Americas,United States,Large Business,,,,,,Q2-2022
PWC USA (PricewaterhouseCoopers LLP),USD,830,4/21/2022,Americas,United States,Top Business,Nature of Business,Lack of strategy / never adopted,,,API+;Brandwatch Enterprise Research;Image Insights;,Q2-2022
huumun,USD,4115.65,4/25/2022,EMEA,United Kingdom,Extra Small,Nature of Business,Strategy change,,,,Q2-2022
Anchor Worldwide,USD,4167,4/26/2022,Americas,United States,Medium Business,Price/Packaging,Other,,,Brandwatch Premium Research;Brandwatch Premium Research;,Q2-2022
Proximity GmbH,USD,2406.95,4/28/2022,EMEA,Germany,Medium Business,Nature of Business,,,Omnicom,,Q2-2022
Explora Mexico,USD,375,5/2/2022,Americas,Mexico,Medium Business,Nature of Business,,,,Vizia;Vizia Theme;,Q2-2022
Iris Worldwide,USD,2705.88,5/3/2022,EMEA,United Kingdom,Large Business,Nature of Business,,,,All historical data on query save;Brandwatch Consumer Research (BCR) - Premium;,Q2-2022
C3 Creative Code and Content GmbH (MÃ¼nchen),USD,1915.9,5/3/2022,EMEA,Germany,Large Business,Nature of Business,,,,Brandwatch Consumer Research (BCR) - Premium;,Q2-2022
"Mindshare USA, LLC",USD,0,5/6/2022,Americas,United States,Top Business,Other,,,WPP,All historical data on query save;API+;Audiences - Enterprise;B4A - Brandwatch Consumer Research (BCR) - Individual Account - Premium;Brandwatch Enterprise Research;Image Insights;,Q2-2022
Mccann New York,USD,1907,5/6/2022,Americas,United States,Large Business,Other,,,Interpublic Group,API+;Brandwatch Enterprise Research;Custom Expert Hours Ongoing;Image Insights;,Q2-2022
VKGP S.A.,USD,362.25,5/6/2022,EMEA,Luxembourg,Medium,Other,,,,,Q2-2022
Llorente & Cuenca MADRID SL,USD,74.75,5/6/2022,EMEA,Spain,Medium Business,Other,,,,Additional Facebook and Instagram Channels;Additional Twitter Channels;Brandwatch Consumer Research (BCR) - Additional Users;Brandwatch Premium Research - Mentions account;Historical Mentions;Mentions Exports (Upgrade to 100k per day);Vizia;Vizia Theme;,Q2-2022
Big Spaceship,USD,0,5/6/2022,Americas,United States,Small Business,Other,,,,All historical data on query save;Brandwatch Premium Research;,Q2-2022
APOYO Comunicación S.A,USD,900,5/6/2022,Americas,Peru,Small Business,Other,,,,Brandwatch Consumer Research (BCR) Agency Client Account;Historical Mentions;,Q2-2022
Accenture,USD,3500,5/6/2022,Americas,United States,Top Business,Other,,,Accenture,API+;Brandwatch Enterprise Research;Image Insights;,Q2-2022
Anexinet Corporation,USD,2500,5/6/2022,Americas,United States,Medium Business,Other,,,,B4A - Brandwatch Consumer Research (BCR) Core Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;Historical Mentions;Historical Mentions;Historical Mentions;,Q2-2022
Sodet - Tecnologia da Informação e Comunicação Lda,USD,2560,5/6/2022,Americas,Brazil,Extra Small,Other,,,,Brandwatch Premium Research;,Q2-2022
Anexinet Corporation,USD,2500,5/6/2022,Americas,United States,Medium Business,Other,,,,B4A - Brandwatch Consumer Research (BCR) Core Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;Historical Mentions;Historical Mentions;Historical Mentions;,Q2-2022
Sodet - Tecnologia da Informação e Comunicação Lda,USD,2560,5/6/2022,Americas,Brazil,Extra Small,Other,,,,Brandwatch Premium Research;,Q2-2022
Digital Public Square,USD,1200,5/23/2022,Americas,Canada,Extra Small,Adoption,,,,API+;Brandwatch Enterprise Research;Custom Expert Hours Ongoing;Image Insights;,Q2-2022
Wieden + Kennedy SÃ£o Paulo,USD,1600,5/24/2022,Americas,Brazil,Extra Small,Nature of Business,,,,,Q2-2022
Nethodology,USD,759,5/30/2022,EMEA,Spain,Extra Small,Nature of Business,,,,Audiences - Professional;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch Consumer Research (BCR) Agency Client Account;Brandwatch for Agencies Core Account (BCR);Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Historical Mentions;Logo recognition;,Q2-2022
VMLY&R,USD,2994.06,5/31/2022,EMEA,United Kingdom,Medium Business,Nature of Business,,,WPP,,Q2-2022
Wunderman Thompson Atlanta,USD,2149,6/6/2022,Americas,United States,Large Business,Adoption,,,WPP,,Q2-2022
Asesorías e Inversiones Nexos SpA,USD,516,6/7/2022,Americas,Chile,Extra Small,Other,,,,B4A - Brandwatch Consumer Research (BCR) Core Account - Standard - Mentions Account;Historical Mentions - Standard;,Q2-2022
Ernst & Young U.S. LLP,USD,2000,6/8/2022,Americas,United States,Top Business,Nature of Business,,,EY,API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Image Insights;Image Insights;,Q2-2022
Convoy S.R.L.,USD,900,6/13/2022,Americas,Argentina,Medium,Price/Packaging,,,,,Q2-2022
Mavens of London,USD,0,6/19/2022,EMEA,United Kingdom,Medium Business,Other,,,,,Q2-2022
Wipro Designit Services Inc.,USD,1500,6/28/2022,Americas,United States,Medium Business,Price/Packaging,,,,Audiences - Enterprise;,Q2-2022
Hill Holliday,USD,7288,6/30/2022,Americas,United States,Medium Business,CX,,,Interpublic Group,,Q2-2022
Jellyfish Livewire,USD,27679.82,7/1/2022,EMEA,United Kingdom,Extra Small,Product,,,,All historical data on query save;API+;Brandwatch Enterprise Research;Custom Expert Hours Ongoing;Image Insights;LexisNexis for BCR;Third Party Services - Kinetiq Agent Bundles: 10 Agents;Vizia reporting;Vizia Theme;,Q3-2022
Ogilvy Colombia,USD,1150,7/12/2022,Americas,Colombia,Extra Small,Product,,,WPP,,Q3-2022
Asociación Colombiana para el Avance de la Ciencia - ACAC,USD,5639,7/12/2022,Americas,Colombia,Extra Small,Adoption,,,,Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);,Q3-2022
LionX,USD,560,7/14/2022,Americas,Brazil,Extra Small,Adoption,,,,Brandwatch Pro Research;,Q3-2022
Ballast Research,USD,3708,7/18/2022,Americas,United States,Extra Small,Nature of Business,,,,All historical data on query save;Brandwatch Premium Research;LexisNexis for BCR;,Q3-2022
Mind+Matter US,USD,4367,7/19/2022,Americas,United States,Large Business,Nature of Business,,,,,Q3-2022
PricewaterhouseCooper LLP,USD,2052,7/25/2022,Americas,United States,Top Business,Price/Packaging,,,,,Q3-2022
Soloed,USD,700,7/26/2022,Americas,Brazil,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q3-2022
NTT DATA INC,USD,466,7/28/2022,Americas,United States,Top Business,Other,,,,API+;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Historical Mentions;Historical Mentions;Image Insights;Vizia;Vizia Theme;,Q3-2022
Fors Marsh Group,USD,1200,7/29/2022,Americas,United States,Medium Business,Nature of Business,,,,All historical data on query save;All historical data on query save;API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Image Insights;Image Insights;LexisNexis for BCR;,Q3-2022
The Sound,USD,3392,8/8/2022,Americas,Canada,Extra Small,Product,,,,API+;Brandwatch Enterprise Research;Image Insights;,Q3-2022
RTI International (Parent),USD,1100,8/8/2022,Americas,United States,Large Business,Nature of Business,,,,All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);,Q3-2022
Narrative Strategies,USD,3791,8/9/2022,Americas,United States,Extra Small,Other,,,,All historical data on query save;Brandwatch Premium Research;Third Party Services - Kinetiq Agent Bundles: 10 Agents;,Q3-2022
ECHO TRENDS,USD,1000,8/16/2022,Americas,Mexico,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q3-2022
Hall and Partners (UK),USD,5817.65,9/8/2022,EMEA,United Kingdom,Medium Business,Price/Packaging,,,Omnicom,All historical data on query save;Brandwatch Consumer Research (BCR) - Additional Users;Brandwatch Premium Research;,Q3-2022
Intouch Group,USD,9252,9/8/2022,Americas,United States,Large Business,Price/Packaging,,,,80 Expert Hours;API+;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Image Insights;Resold Services - Buzzsumo Enterprise;Vizia reporting;Vizia Theme;,Q3-2022
RTI International (Parent),USD,1000,9/8/2022,Americas,United States,Large Business,Nature of Business,,,,All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Brandwatch Premium Research;Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);Mentions Exports (Upgrade to 100k per day);,Q3-2022
Dentsu US,USD,3733,9/9/2022,Americas,United States,Large Business,Nature of Business,,,Dentsu,All historical data on query save;API+;API+;Brandwatch Enterprise Research;Brandwatch Enterprise Research;Brandwatch Premium;Extra Users;Image Insights;Image Insights;,Q3-2022
"Ogilvy & Mather Portugal, Directo - Servic?os S.A",USD,746.35,9/13/2022,EMEA,Portugal,Small Business,Nature of Business,,,WPP,Brandwatch Pro Research;,Q3-2022
"YMEDIA WINK IPROSPECT, S.A.U.",USD,2520.8,9/13/2022,EMEA,Spain,Medium Business,Adoption,,,Dentsu,Brandwatch Premium Research;,Q3-2022
European Service Network,USD,516.35,9/23/2022,EMEA,Belgium,Medium Business,,,,,Resold Services - Buzzsumo Enterprise;,Q3-2022
Viola Communications LLC,USD,2888.53,10/3/2022,EMEA,United Arab Emirates,Medium Business,Adoption,,,,Brandwatch Premium Research - Mentions account;Historical Mentions;,Q4-2022
Reactor,USD,700,10/3/2022,Americas,Chile,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Pernod Ricard Brazil,USD,560,10/7/2022,Americas,Brazil,Large Business,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Fantastica,USD,700,10/17/2022,Americas,Colombia,Extra Small,Adoption,,,,Brandwatch Pro Research;,Q4-2022
Agência Um,USD,667,10/17/2022,EMEA,Switzerland,Extra Small,Nature of Business,,,,Brandwatch Pro Research;,Q4-2022
Acceleration Point,USD,833,10/19/2022,Americas,United States,Extra Small,,,,WPP,API+;Brandwatch Enterprise Research;Image Insights;Resold Services - Buzzsumo Enterprise;,Q4-2022
CAF - Banco de Desarrollo de América Latina,USD,2030,10/27/2022,Americas,Peru,Large Business,Price/Packaging,,,,Brandwatch Premium Research;,Q4-2022
saga communication,USD,1099.4,10/31/2022,EMEA,Morocco,Small Business,Nature of Business,,,,Brandwatch Consumer Research (BCR) - Lite Pack;,Q4-2022
NTT DATA INC,USD,2868,11/1/2022,Americas,United States,Top Business,,,,,API+;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Premium - Mentions account;Brandwatch Enterprise Research - Mentions Account;Historical Mentions;Historical Mentions;Historical Mentions;Image Insights;Vizia;Vizia Theme;,Q4-2022
Jungle Creations,USD,5177.71,11/2/2022,EMEA,United Kingdom,Medium Business,Adoption,,,,All historical data on query save;All historical data on query save;Brandwatch Premium Research;Brandwatch Premium Research;,Q4-2022
Bookmark Content Limited,USD,1420.59,11/2/2022,EMEA,United Kingdom,Medium Business,Other,,,WPP,Brandwatch Pro Research - Mentions Account;Historical Mentions - Standard;,Q4-2022
Rayz,USD,0,11/3/2022,EMEA,Saudi Arabia,Extra Small,,,,,,Q4-2022
ToneView Analytics,USD,7500,11/3/2022,Americas,United States,Extra Small,,,,,All historical data on query save;Brandwatch Premium Research;,Q4-2022
Crisp Thinking Group Ltd,USD,135.29,11/3/2022,EMEA,United Kingdom,Medium Business,,,,,API+;Brandwatch Premium Research - Mentions account;Historical Mentions;,Q4-2022
Eleffanta,USD,525,11/8/2022,Americas,Mexico,Extra Small,Price/Packaging,Budget cuts,"This is a small client and they didn't have the resources to use the platform nor any budget for expert hours, therefore when evaluating budget cuts for this year, Brandwatch was one of the options. They lost a very big part of the team, therefore a lot of internal restructuring.",,Brandwatch Pro Research;,Q4-2022
Metia (US),USD,499,11/8/2022,Americas,United States,Large Business,,,,,API+;API+;Audiences - Strategic;B4A - Brandwatch Consumer Research (BCR) Core Account - Enterprise - Mentions Account;B4A - Brandwatch Consumer Research (BCR) Individual Account - Enterprise - Mentions Account;Historical Mentions;Historical Mentions;Image Insights;Image Insights;,Q4-2022
"Cheil Central America, Inc",USD,3496,11/8/2022,Americas,Panama,Top Business,Price/Packaging,,,,Brandwatch Consumer Research (BCR) Agency Client Account;Custom Expert Hours Ongoing;Historical Mentions;Vizia;Vizia Theme;,Q4-2022
"Cuadrante Estrategia y Comunicación, S.C.",USD,1000,11/14/2022,Americas,Mexico,Extra Small,Nature of Business,,,,B4A - Brandwatch Consumer Research (BCR) - Core Account - Premium;,Q4-2022
